login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
ValentineFernandes,ValentineFernandes/Food-Website,2022-06-01T17:20:57Z,54,54,HTML,true,true,mit
ValentineFernandes,ValentineFernandes/DentalClinic-Website,2022-06-02T10:28:55Z,60,60,HTML,true,true,mit
